most,most,361.66,361.97
of,of,362.14,362.2
us,us,362.2,362.42
know,know,362.42,362.8
that,that,362.9,363.12
this,this,363.12,363.39
is,is,363.45,363.68
not,not,363.68,363.95
true,true,364.02,364.46
We,we,365.35,365.79
on,on,365.79,365.95
the,the,365.95,366.08
other,other,366.08,366.33
hand,hand,366.33,366.8
came,came,366.86,367.24
up,up,367.24,367.44
with,with,367.44,367.63
the,,,
drug,drug,367.7,368.03
cocktail,cocktail,368.03,368.75
that,that,369.05,369.27
targets,targets,369.27,369.81
metastasis,<unk>,369.83,370.79
not,not,371.3,371.59
by,by,371.62,371.79
targeting,targeting,371.809999,372.269999
tumor,tumor,372.27,372.57
growth,growth,372.57,373.1
but,but,373.17,373.37
by,by,373.37,373.53
targeting,targeting,373.559999,374.119999
the,the,374.12,374.25
complex,complex,374.259999,374.889999
mechanisms,mechanisms,374.91,375.67
that,that,375.67,375.85
govern,govern,375.86,376.27
it,it,376.27,376.49
through,through,376.859999,377.169999
the,the,377.17,377.31
targeting,targeting,377.32,377.97
of,of,378.16,378.36
the,the,378.38,378.53
Hasini,<unk>,378.53,379
effect,effect,379,379.56
Laughter,laughter,380.35,380.4
This,this,381.84,382.19
work,work,382.19,382.66
was,was,382.69,382.89
recently,recently,382.9,383.35
published,published,383.35,384
in,in,384.01,384.35
Nature,nature,384.36,384.67
Communications,communications,384.67,385.71
and,and,386.09,386.39
my,my,386.389999,386.709999
team,team,386.71,387.06
and,and,387.059999,387.229999
I,i,387.23,387.38
received,received,387.38,387.9
an,an,387.929999,388.159999
overwhelming,overwhelming,388.28,389.16
response,response,389.16,389.73
from,from,389.74,389.94
around,around,389.94,390.23
the,the,390.24,390.35
world,world,390.349999,390.969999
Nobody,nobody,391.509999,392.219999
on,on,392.219999,392.379999
my,my,392.38,392.53
team,team,392.53,392.85
could,could,392.849999,392.989999
have,have,392.99,393.16
predicted,predicted,393.16,393.72
this,this,393.719999,393.859999
sort,sort,393.86,394.12
of,of,394.119999,394.249999
response,response,394.25,394.98
We,we,395.5,395.67
seem,seem,395.67,395.94
to,to,395.940001,396.030001
have,have,396.029999,396.179999
struck,struck,396.18,396.5
a,a,396.5,396.58
nerve,nerve,396.55,397.02
Looking,looking,397.84,398.24
back,back,398.25,398.79
I,i,399.01,399.2
am,am,399.2,399.38
extremely,extremely,399.41,400.32
grateful,grateful,400.32,400.83
for,for,400.84,400.99
the,the,400.99,401.09
positive,positive,401.09,401.61
response,response,401.61,402.16
that,that,402.16,402.32
I,i,402.32,402.43
received,received,402.43,403.01
not,not,403.35,403.66
only,only,403.67,403.99
from,from,403.99,404.2
academia,academia,404.2,405.08
but,but,405.16,405.36
also,also,405.36,405.69
patients,patients,405.69,406.42
and,and,406.45,406.66
people,people,406.66,407.15
around,around,407.15,407.58
the,the,407.58,407.67
world,world,407.67,408.03
affected,affected,408.059999,408.829999
by,by,408.86,409.04
this,this,409.04,409.25
terrible,terrible,409.25,409.71
disease,disease,409.719999,410.349999
As,as,411.37,411.62
I,i,411.62,411.75
reflect,reflect,411.75,412.49
on,on,412.559999,412.789999
this,this,412.789999,412.999999
success,success,413,413.57
I've,i've,413.809999,413.939999
encountered,encountered,413.940001,414.630001
with,with,414.629999,414.719999
the,the,414.73,414.86
Hasini,<unk>,414.86,415.33
effect,effect,415.33,415.84
I,i,416.46,416.68
keep,keep,416.73,417.14
coming,coming,417.17,417.6
back,back,417.61,417.92
to,to,417.92,418.06
the,the,418.06,418.17
people,people,418.17,418.87
that,that,418.96,419.15
I,i,419.15,419.23
was,was,419.23,419.43
fortunate,fortunate,419.43,420.12
enough,enough,420.12,420.42
to,to,420.42,420.57
work,work,420.57,420.83
with,with,420.83,421.25
The,the,422.179999,422.409999
undergraduate,undergraduate,422.41,423.19
students,students,423.19,423.74
who,who,423.75,424
demonstrated,demonstrated,424,424.79
superhuman,superhuman,424.79,425.79
powers,powers,425.79,426.36
through,through,426.37,426.57
their,their,426.57,426.73
hard,hard,426.75,427.18
work,work,427.19,427.52
and,and,427.52,427.69
dedication,dedication,427.69,428.67
The,the,429.42,429.59
graduate,graduate,429.589999,430.139999
students,students,430.139999,430.569999
and,and,430.6,430.78
the,the,430.779999,430.859999
postdoctoral,postdoctoral,430.859999,431.899999
fellows,fellows,431.92,432.52
my,my,432.83,433.28
fellow,fellow,433.29,433.6
Avengers,<unk>,434.58,434.59
who,who,434.65,434.87
taught,taught,434.87,435.25
me,me,435.28,435.44
new,new,435.44,435.63
techniques,techniques,435.67,436.36
and,and,436.39,436.6
always,always,436.6,437.08
made,made,437.08,437.34
sure,sure,437.34,437.59
I,i,437.59,437.75
stayed,stayed,437.76,438.09
on,on,438.09,438.26
track,track,438.27,438.75
The,the,439.46,439.63
professors,professors,439.63,440.61
my,my,440.84,441.12
Yodas,<unk>,441.469999,441.789999
and,and,441.83,442.02
my,my,442.02,442.23
Obi,<unk>,442.25,442.69
Wan,wan,442.69,442.79
Kenobis,<unk>,442.79,443.55
who,who,443.809999,444.079999
brought,brought,444.08,444.54
